Staff_ID,Staff_FName,Staff_LName,Dept,Position,Country,Email,Reporting_Manager,Role,password
130002,Jack,Sim,CEO,MD,Singapore,jack.sim@allinone.com.sg,130002,1,Ph6T2EiR
140001,Derek,Tan,Sales,Director,Singapore,Derek.Tan@allinone.com.sg,130002,1,2ZvBYts7
150008,Eric,Loh,Solutioning,Director,Singapore,Eric.Loh@allinone.com.sg,130002,1,eUqrLJH0
151408,Philip,Lee,Engineering,Director,Singapore,Philip.Lee@allinone.com.sg,130002,1,KVqt2I6x
140894,Rahim,Khalid,Sales,Sales Manager,Singapore,Rahim.Khalid@allinone.com.sg,140001,3,DodMuqfg
140002,Susan,Goh,Sales,Account Manager,Singapore,Susan.Goh@allinone.com.sg,140894,2,c0UWSvYA
140003,Janice,Chan,Sales,Account Manager,Singapore,Janice.Chan@allinone.com.sg,140894,2,EJOupeRC
140004,Mary,Teo,Sales,Account Manager,Singapore,Mary.Teo@allinone.com.sg,140894,2,RM50uNHL
140015,Oliva,Lim,Sales,Account Manager,Singapore,Oliva.Lim@allinone.com.sg,140894,2,7wxAPxnL
140025,Emma,Heng,Sales,Account Manager,Singapore,Emma.Heng@allinone.com.sg,140894,2,70ERTDhD
140036,Charlotte,Wong,Sales,Account Manager,Singapore,Charlotte.Wong@allinone.com.sg,140894,2,pP4uHl7S
140078,Amelia,Ong,Sales,Account Manager,Singapore,Amelia.Ong@allinone.com.sg,140894,2,7rVlD46E
140102,Eva,Yong,Sales,Account Manager,Singapore,Eva.Yong@allinone.com.sg,140894,2,kEzJk5xy
140108,Liam,The,Sales,Account Manager,Singapore,Liam.The@allinone.com.sg,140894,2,JeQywntk
140115,Noah,Ng,Sales,Account Manager,Singapore,Noah.Ng@allinone.com.sg,140894,2,clsdxBl1
140525,Oliver,Tan,Sales,Account Manager,Singapore,Oliver.Tan@allinone.com.sg,140894,2,tn1dtECg
140736,William,Fu,Sales,Account Manager,Singapore,William.Fu@allinone.com.sg,140894,2,y6Upairk
140878,James,Tong,Sales,Account Manager,Singapore,James.Tong@allinone.com.sg,140894,2,Q2MlfvSu
140880,Heng,Chan,Sales,Account Manager,Singapore,Heng.Chan@allinone.com.sg,140008,2,NYeBLHpI
140881,Rina,Tan,Sales,Account Manager,Singapore,Rina.Tan@allinone.com.sg,140008,2,g5A0ZSrT
140882,Boun,Souk,Sales,Account Manager,Singapore,Boun.Souk@allinone.com.sg,140008,2,rLAzcI79
140883,Aung,Kyaw,Sales,Account Manager,Singapore,Aung.Kyaw@allinone.com.sg,140008,2,CEgJt51Q
140886,Thuy,Nguyen,Sales,Account Manager,Singapore,Thuy.Nguyen@allinone.com.sg,140008,2,c8CYcPx8
140887,Rajesh,Kumar,Sales,Account Manager,Singapore,Rajesh.Kumar@allinone.com.sg,140008,2,NLoKjclZ
140888,Koh,Lim,Sales,Account Manager,Singapore,Koh.Lim@allinone.com.sg,140008,2,n49AnJW8
140889,Somchai,Somboon,Sales,Account Manager,Singapore,Somchai.Somboon@allinone.com.sg,140008,2,P2QP7x80
140890,Seng,Lee,Sales,Account Manager,Singapore,Seng.Lee@allinone.com.sg,140008,2,hSSdXcsI
